,Name,NameEng,MtimePage,ReleaseDate,BoxOffice,BoxOfficeDetail,BoxOfficeRankCN,BoxOfficeRankNA,BoxOfficeRankG,MtimeRating,NumberofReviewers,BoxOfficeGlobal
30,侏罗纪世界,Jurassic World,http://movie.mtime.com/191813,2015年06月10日,14.21亿CNY,首日1.01亿|首周5.98亿|连冠2周,31,6,5,7.6,12063,16.72亿USD
31,头号玩家,Ready Player One,http://movie.mtime.com/219107,2018年03月30日,13.97亿CNY,首日8568.9万|首周3.88亿,32,,,8.2,7582,
32,阿凡达,Avatar,http://movie.mtime.com/45997,2010年01月04日,13.79亿CNY,,33,2,1,8.8,68055,27.88亿USD
33,后来的我们,Us And Them,http://movie.mtime.com/253823,2018年04月28日,13.61亿CNY,首日2.86亿|首周5.62亿,34,,,6.3,2457,
34,一出好戏,The Island,http://movie.mtime.com/241018,2018年08月10日,13.53亿CNY,首日1.51亿|首周5.33亿,35,,,7.6,4083,
35,摔跤吧！爸爸,Dangal,http://movie.mtime.com/232932,2017年05月05日,12.97亿CNY,首日1575.4万|首周8672.1万,36,,,8.6,8753,
36,无双,Project Gutenberg,http://movie.mtime.com/225752,2018年09月30日,12.71亿CNY,首日5472.6万|首周5472.6万|连冠2周,37,,,7.8,4008,
37,人再囧途之泰囧,Lost In Thailand,http://movie.mtime.com/164046,2012年12月12日,12.67亿CNY,,38,,,7.6,26890,
38,美国队长3,Captain America: Civil War,http://movie.mtime.com/209122,2016年05月06日,12.46亿CNY,首日1.81亿|首周6.11亿,39,27,19,7.8,12027,11.53亿USD
39,西游降魔篇,Journey to the West: Conquering the Demons,http://movie.mtime.com/138762,2013年02月10日,12.46亿CNY,,40,,,7.4,26718,
40,碟中谍6：全面瓦解,Mission: Impossible - Fallout,http://movie.mtime.com/226992,2018年08月31日,12.43亿CNY,首日1.68亿|首周5.20亿,41,,79,7.8,4578,7.91亿USD
41,寻梦环游记,Coco,http://movie.mtime.com/227434,2017年11月24日,12.12亿CNY,首日1279.2万|首周1.19亿,42,,74,9.0,7860,8.07亿USD
42,西游记之孙悟空三打白骨精,The Monkey King 2,http://movie.mtime.com/209180,2016年02月08日,12.01亿CNY,首日1.67亿|首周7.69亿,43,,,6.4,15730,
43,湄公河行动,Operation Mekong,http://movie.mtime.com/228345,2016年09月30日,11.88亿CNY,首日3899.4万|首周1.64亿,44,,,7.6,10059,
44,加勒比海盗5：死无对证,Pirates of the Caribbean: Dead Men Tell No Tales,http://movie.mtime.com/151657,2017年05月26日,11.80亿CNY,首日1.33亿|首周4.54亿,45,,77,7.5,5742,7.95亿USD
45,长城,The Great Wall,http://movie.mtime.com/153307,2016年12月16日,11.75亿CNY,首日1.24亿|首周4.24亿,46,,,6.5,10682,
46,心花路放,Breakup Buddies,http://movie.mtime.com/206162,2014年09月30日,11.65亿CNY,首日1.03亿,47,,,7.3,22610,
