,Genre,BoxOffice
614,科幻,418.0
615,动作,418.0
616,冒险,415.0
617,喜剧,415.0
618,动画,415.0
619,奇幻,413.0
620,冒险,413.0
621,动作,413.0
622,冒险,409.0
623,科幻,409.0
624,动作,409.0
625,冒险,408.0
626,科幻,408.0
627,动作,408.0
628,冒险,408.0
629,惊悚,408.0
630,科幻,408.0
631,冒险,405.0
632,喜剧,405.0
633,动作,405.0
634,冒险,404.0
635,科幻,404.0
636,动作,404.0
637,冒险,403.0
638,惊悚,403.0
639,科幻,403.0
640,冒险,402.0
641,科幻,402.0
642,动作,402.0
643,冒险,401.0
644,喜剧,401.0
645,动画,401.0
646,冒险,390.0
647,喜剧,390.0
648,动作,390.0
649,奇幻,381.0
650,冒险,381.0
651,剧情,381.0
652,冒险,381.0
653,喜剧,381.0
654,动画,381.0
655,奇幻,380.0
656,冒险,380.0
657,动作,380.0
658,奇幻,378.0
659,冒险,378.0
660,剧情,378.0
661,冒险,374.0
662,科幻,374.0
663,动作,374.0
664,剧情,371.0
665,冒险,368.0
666,喜剧,368.0
667,动画,368.0
668,冒险,368.0
669,喜剧,368.0
670,动画,368.0
671,冒险,364.0
672,家庭,364.0
673,剧情,364.0
674,冒险,363.0
675,喜剧,363.0
676,动作,363.0
677,冒险,356.0
678,喜剧,356.0
679,动画,356.0
680,惊悚,353.0
681,犯罪,353.0
682,动作,353.0
683,冒险,352.0
684,科幻,352.0
685,动作,352.0
686,传记,350.0
687,动作,350.0
688,剧情,350.0
689,奇幻,343.0
690,冒险,343.0
691,剧情,343.0
692,冒险,341.0
693,喜剧,341.0
694,动画,341.0
695,冒险,337.0
696,科幻,337.0
697,动作,337.0
698,冒险,337.0
699,科幻,337.0
700,动作,337.0
701,冒险,336.0
702,动作,336.0
703,动画,336.0
704,冒险,334.0
705,科幻,334.0
706,动作,334.0
707,奇幻,334.0
708,冒险,334.0
709,家庭,334.0
710,奇幻,334.0
711,冒险,334.0
712,动作,334.0
713,冒险,333.0
714,喜剧,333.0
715,动作,333.0
716,奇幻,330.0
717,冒险,330.0
718,动作,330.0
719,爱情,330.0
720,剧情,330.0
721,惊悚,327.0
722,恐怖,327.0
723,剧情,327.0
724,奇幻,325.0
725,冒险,325.0
726,动作,325.0
727,冒险,325.0
728,喜剧,325.0
729,动作,325.0
730,冒险,323.0
731,喜剧,323.0
732,动画,323.0
733,冒险,319.0
734,科幻,319.0
735,动作,319.0
736,冒险,318.0
737,科幻,318.0
738,动作,318.0
739,奇幻,318.0
740,冒险,318.0
741,家庭,318.0
742,奇幻,317.0
743,冒险,317.0
744,动作,317.0
745,奇幻,316.0
746,冒险,316.0
747,剧情,316.0
748,冒险,315.0
749,喜剧,315.0
750,动作,315.0
751,冒险,312.0
752,科幻,312.0
753,动作,312.0
754,奇幻,311.0
755,冒险,311.0
756,动作,311.0
757,奇幻,309.0
758,冒险,309.0
759,动作,309.0
760,奇幻,309.0
761,冒险,309.0
762,动作,309.0
763,冒险,306.0
764,科幻,306.0
765,动作,306.0
766,奇幻,305.0
767,冒险,305.0
768,动作,305.0
769,冒险,304.0
770,惊悚,304.0
771,动作,304.0
772,奇幻,303.0
773,冒险,303.0
774,家庭,303.0
775,奇幻,302.0
776,冒险,302.0
777,家庭,302.0
778,奇幻,301.0
779,冒险,301.0
